Date,Month,Year,Channel,Campaign_Name,Ad_Spend,Operational_Cost,Impressions,Clicks,Leads_Generated,Customers_Acquired,Total_Cost,Revenue_Generated,AOV,Conversion_Rate,Cost_Per_Acquisition,Month Name
1/31/2023,1,2023,LinkedIn Ads,Lead Gen Burst,2373.27,137.77,491865,9571,4246,328,2511.04,17761.45,54.15,0.0772,7.66,January
12/30/2023,12,2023,LinkedIn Ads,Summer Promo,4862.83,47.71,332950,8719,4616,281,4910.54,16246.64,57.82,0.0609,17.48,December
5/10/2022,5,2022,Facebook Ads,Holiday Sales,3081.78,207.7,305958,11333,3166,46,3289.48,7611.26,165.46,0.0145,71.51,May
7/18/2023,7,2023,LinkedIn Ads,Black Friday Push,1812.58,132.42,71219,7048,4553,73,1945,4780.02,65.48,0.016,26.64,July
2/4/2023,2,2023,Instagram,Brand Awareness,659.07,125.39,443862,13490,4160,354,784.46,14750.04,41.67,0.0851,2.22,February
12/31/2022,12,2022,Instagram,Black Friday Push,841.11,480.73,171956,12747,532,313,1321.84,6230.59,19.91,0.5883,4.22,December
9/20/2024,9,2024,LinkedIn Ads,Holiday Sales,1204.05,315.82,358489,13783,3303,343,1519.87,3685.59,10.75,0.1038,4.43,September
11/10/2022,11,2022,Referral,Black Friday Push,1329.74,287.3,258134,1319,1028,133,1617.04,15773.21,118.6,0.1294,12.16,November
6/26/2024,6,2024,TikTok,Reactivation Campaign,4268.02,219.57,363232,7918,3739,55,4487.59,6388.36,116.15,0.0147,81.59,June
5/1/2020,5,2020,LinkedIn Ads,Black Friday Push,2849.99,225.89,332466,12423,437,61,3075.88,18305.95,300.1,0.1396,50.42,May
4/11/2021,4,2021,Email,Holiday Sales,2664.62,279.63,22650,19037,1181,345,2944.25,16844.53,48.82,0.2921,8.53,April
5/23/2023,5,2023,Google Search,Discount Week,662.37,354.29,357386,6011,405,8,1016.66,16983.28,2122.91,0.0198,127.08,May
11/26/2020,11,2020,TikTok,Reactivation Campaign,4314.68,357.03,403406,15784,2109,272,4671.71,15477.08,56.9,0.129,17.18,November
1/22/2024,1,2024,TikTok,Black Friday Push,3641.79,102.41,301340,9711,3055,246,3744.2,17641.45,71.71,0.0805,15.22,January
3/28/2020,3,2020,Instagram,Lead Gen Burst,431.57,260.05,171521,8619,2238,176,691.62,16153.79,91.78,0.0786,3.93,March
10/28/2023,10,2023,TikTok,Lead Gen Burst,3568.39,217.74,171733,7607,2450,493,3786.13,12129.72,24.6,0.2012,7.68,October
1/28/2023,1,2023,LinkedIn Ads,Black Friday Push,2763.34,437.85,292853,18114,4705,116,3201.19,6057.29,52.22,0.0247,27.6,January
5/21/2022,5,2022,Email,Discount Week,500.45,323.08,243037,8483,2840,317,823.53,17786.54,56.11,0.1116,2.6,May
8/14/2024,8,2024,Email,Brand Awareness,2345.67,275.6,81428,15703,2518,271,2621.27,16843.95,62.15,0.1076,9.67,August
5/10/2020,5,2020,Facebook Ads,Holiday Sales,2475.01,75.39,207251,9161,1778,193,2550.4,9563.01,49.55,0.1085,13.21,May
8/12/2024,8,2024,Email,Lead Gen Burst,912.3,310.71,10943,5732,1101,150,1223.01,973.76,6.49,0.1362,8.15,August
8/25/2023,8,2023,Email,Brand Awareness,4733.92,76.26,175312,15529,933,131,4810.18,12843.17,98.04,0.1404,36.72,August
2/8/2022,2,2022,Instagram,Black Friday Push,4264.88,181.86,439976,15097,1956,102,4446.74,1201.82,11.78,0.0521,43.6,February
12/9/2020,12,2020,Email,Brand Awareness,3378.21,88.56,22042,8134,1978,310,3466.77,18540.34,59.81,0.1567,11.18,December
2/24/2024,2,2024,Facebook Ads,Reactivation Campaign,2365.25,352.2,253842,16503,1559,270,2717.45,19240.3,71.26,0.1732,10.06,February
12/8/2023,12,2023,Google Search,Summer Promo,2117.65,119,307038,6250,2783,292,2236.65,3951.9,13.53,0.1049,7.66,December
3/16/2022,3,2022,LinkedIn Ads,Lead Gen Burst,3289.77,208.09,401085,10328,4426,210,3497.86,13592.51,64.73,0.0474,16.66,March
1/20/2021,1,2021,Instagram,Black Friday Push,2772.62,449.92,455294,2057,999,495,3222.54,2026.93,4.09,0.4955,6.51,January
4/30/2023,4,2023,Google Search,Holiday Sales,405.14,118.07,319903,15852,617,361,523.21,14644.44,40.57,0.5851,1.45,April
